rental_ym,day_type,station_name,gender,age_group,total_rides,avg_distance_km,avg_duration_min,avg_speed_kmh,avg_exercise,avg_co2
202302,Weekday,"457. 종로꽃시장 입구 옆",M,60대,24,0,925,0,912.19,7.98
202302,Weekday,"457. 종로꽃시장 입구 옆",M,70대이상,41,0,525,0,1237.57,10.82
202302,Weekday,"458. 광화문역 5번출구",F,20대,105,0,711.3333333333334,0,2180.9066666666668,21.099999999999998
202302,Weekday,"458. 광화문역 5번출구",F,기타,59,0,223,0,668.3366666666667,6.44
202302,Weekday,"458. 광화문역 5번출구",M,~10대,25,0,241.66666666666666,0,612.2033333333333,5.503333333333333
202302,Weekday,"458. 광화문역 5번출구",NULL,20대,172,0,1515.5,0,4132.785,36.825
202302,Weekday,"458. 광화문역 5번출구",NULL,30대,144,0,1491.5,0,5077.83,44.15
202302,Weekday,"458. 광화문역 5번출구",NULL,40대,96,0,807.5,0,3060.555,23.425
202302,Weekday,"458. 광화문역 5번출구",NULL,50대,53,0,649.5,0,1465.095,12.245
202302,Weekday,"458. 광화문역 5번출구",NULL,~10대,6,0,72,0,284.375,2.375
202302,Weekday,"458. 광화문역 5번출구",NULL,기타,32,0,294.3333333333333,0,593.3066666666667,5.43
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",F,50대,11,0,91,0,296.68,2.86
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",F,60대,1,0,8,0,18.24,0.17
202302,Weekday,"458. 광화문역 5번출구",F,30대,115,0,1041.5,0,2574.6949999999997,24.81
202302,Weekday,"458. 광화문역 5번출구",F,40대,67,0,569.5,0,1661.47,17.415000000000003
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",F,기타,17,0,894,0,962.85,8.32
202302,Weekday,"458. 광화문역 5번출구",F,50대,31,0,227.5,0,556.6850000000001,5.705
202302,Weekday,"458. 광화문역 5번출구",F,~10대,13,0,213.5,0,524.485,4.75
202302,Weekday,"458. 광화문역 5번출구",M,20대,162,0,1632,0,5668.04,47.28
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",M,70대이상,2,0,22,0,61.26,0.55
202302,Weekday,"458. 광화문역 5번출구",M,30대,231,0,2044.5,0,6862.16,55.415
202301,Weekend,"2233. 서초신동아1차아파트 옆",F,40대,4,0,54.5,0,133.645,1.305
202301,Weekend,"2233. 서초신동아1차아파트 옆",NULL,30대,78,0,2090,0,1303.08,11.95
202301,Weekend,"2233. 서초신동아1차아파트 옆",NULL,40대,28,0,155.5,0,941.885,7.48
202301,Weekend,"2233. 서초신동아1차아파트 옆",F,20대,24,0,92,0,274.09000000000003,2.7299999999999995
202301,Weekend,"2233. 서초신동아1차아파트 옆",F,~10대,1,0,28,0,28.03,0.28
202301,Weekend,"2233. 서초신동아1차아파트 옆",F,기타,14,0,359.5,0,368.26500000000004,2.995
202301,Weekend,"2233. 서초신동아1차아파트 옆",M,20대,21,0,204,0,498.795,4.305
202301,Weekend,"2233. 서초신동아1차아파트 옆",M,30대,77,0,534.5,0,1608.0749999999998,12.92
202301,Weekend,"2233. 서초신동아1차아파트 옆",M,40대,41,0,391.5,0,634.3449999999999,5.21
202301,Weekend,"2233. 서초신동아1차아파트 옆",M,50대,33,0,334,0,1260.14,10.695
202301,Weekend,"2233. 서초신동아1차아파트 옆",M,기타,20,0,181.5,0,446.955,3.7
202301,Weekend,"2233. 서초신동아1차아파트 옆",NULL,기타,8,0,31,0,111.22,0.98
